"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"iBIPOC_pr",1,35,0.435714285714286,0.402243359035243,0.333333333333333,0.422413793103448,0.494199999999999,0,1,1,0.374567972097271,-1.45379365481162,0.0679915372649851
"cmBlack",2,37,7.18918918918919,8.14738484913287,5,6.03225806451613,7.413,0,29,29,1.2182870262427,0.380753031013481,1.33942181838446
"Belonging",3,36,4.25944444444444,1.46052034649973,4,4.30033333333333,1.4826,1,7,6,-0.191458846742463,-0.816676911339473,0.243420057749954
"ClimateBL",4,34,2.32352941176471,0.975530570022349,2.33,2.27357142857143,0.993342,1,4.17,3.17,0.300397643649605,-1.06027122413885,0.167302112522098
